"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @OffeneStadt: Für wen ist dieses  #opendata, #metadata, #gedönsgedata eigentlich? 
Was bringt mir das? Antworten gibt's am 03.03. FORUM…",FALSE,0,NA,2017-02-17 19:36:11,FALSE,NA,"832675026776109058",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","mvkennelly",1,TRUE,FALSE,NA,NA
"RT @bwiggerson: .@DataRefuge is growing larger &amp; larger with each #DataRescue augmented by work of #Libraries + #opendata @ARLnews https://…",FALSE,0,NA,2017-02-17 19:34:45,FALSE,NA,"832674665097261056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisaFVelez1",3,TRUE,FALSE,NA,NA
"Formate en Marketing de Datos 
https://t.co/krZFJtysGz   
Formación Acreditada @ODI_Barcelona 
Matricúlate!… https://t.co/be49cY88sp",FALSE,0,NA,2017-02-17 19:34:04,TRUE,NA,"832674494879707141",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iopendatabcn",0,FALSE,FALSE,NA,NA
"RT @northernjamie: Help! I'm looking at how people use DCLG's #opendata. If you could share/do this 10min survey I'd be super-grateful: htt…",FALSE,0,NA,2017-02-17 19:33:38,FALSE,NA,"832674385194520576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","teresacjolley",49,TRUE,FALSE,NA,NA
"RT @UW_iSchool: The White House's #opendata portal has been scrubbed: https://t.co/CVavNO8KmK via @govtechnews",FALSE,0,NA,2017-02-17 19:32:29,FALSE,NA,"832674097473597440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terlovins",1,TRUE,FALSE,NA,NA
"RT @bwiggerson: .@DataRefuge is growing larger &amp; larger with each #DataRescue augmented by work of #Libraries + #opendata @ARLnews https://…",FALSE,0,NA,2017-02-17 19:31:15,FALSE,NA,"832673784465272832",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","teresa_atHome",3,TRUE,FALSE,NA,NA
"The White House's #opendata portal has been scrubbed: https://t.co/CVavNO8KmK via @govtechnews",FALSE,1,NA,2017-02-17 19:30:02,FALSE,NA,"832673481036746754",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UW_iSchool",1,FALSE,FALSE,NA,NA
"RT @Infoway: We partnered with @UVic again to share research data https://t.co/xYKfPChlFG #opendata",FALSE,0,NA,2017-02-17 19:28:13,FALSE,NA,"832673022913843200",NA,"<a href=""https://twitter.com/LarryAdeyemi"" rel=""nofollow"">TechLBot</a>","LTechBot",2,TRUE,FALSE,NA,NA
"RT @bwiggerson: .@DataRefuge is growing larger &amp; larger with each #DataRescue augmented by work of #Libraries + #opendata @ARLnews https://…",FALSE,0,NA,2017-02-17 19:28:11,FALSE,NA,"832673013556342785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DataRefuge",3,TRUE,FALSE,NA,NA
"RT @puntofisso: Having #opendata does not mean everything is good.
Going from open data to absence of it does hint to bad things, though. h…",FALSE,0,NA,2017-02-17 19:27:59,FALSE,NA,"832672964810125312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milanifard",7,TRUE,FALSE,NA,NA
"RT @ndielections: Next week, we’ll be hosting a data academy in Kiev to talk more about #opendata! We'll be tweeting using #NDIDataAcademy…",FALSE,0,NA,2017-02-17 19:27:33,FALSE,NA,"832672855842181120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","openelectdata",1,TRUE,FALSE,NA,NA
"¡Open data, Big data, Internet of Things &amp; Business Strategy Daily está disponible! https://t.co/4w9CaCEBL7 Gracias a @DataSkald #opendata",FALSE,0,NA,2017-02-17 19:26:31,FALSE,NA,"832672593043877888",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","gilbercorrales",0,FALSE,FALSE,NA,NA
"empieza taller de #datos en Braile232 #hagamosdata #opendata #DatosAbiertos https://t.co/XoiAwnjrN7",FALSE,0,NA,2017-02-17 19:22:28,FALSE,NA,"832671574574522368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhiRequiem",0,FALSE,FALSE,NA,NA
"Update on the Open Government Partnership in Spain: https://t.co/X498JFqF9P #OpenData #Legal #Ethics",FALSE,0,NA,2017-02-17 19:22:14,FALSE,NA,"832671516290473984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Innov_Partner",0,FALSE,FALSE,NA,NA
"Next week, we’ll be hosting a data academy in Kiev to talk more about #opendata! We'll be tweeting using… https://t.co/kpqOQnHHFB",FALSE,0,"ndielections",2017-02-17 19:21:04,TRUE,"832649827355762689","832671223318405120","140878651","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ndielections",1,FALSE,FALSE,NA,NA
"RT @dataforscience: ""Fueling the Gold Rush: The Greatest Public #Datasets for #AI” https://t.co/oKsrdT6uV1 #D4Sci #opendata #MachineLearnin…",FALSE,0,NA,2017-02-17 19:17:40,FALSE,NA,"832670368947171328",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bgoncalves",1,TRUE,FALSE,NA,NA
"We have open data, Chapel Hill. Now how will we use it? #Carrboro #OpenData https://t.co/y2D3AeLa3d",FALSE,1,NA,2017-02-17 19:17:38,FALSE,NA,"832670357865713664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rmunde",0,FALSE,FALSE,NA,NA
"Für wen ist dieses  #opendata, #metadata, #gedönsgedata eigentlich? 
Was bringt mir das? Antworten gibt's am 03.03.… https://t.co/8HdXSq8xhM",FALSE,0,NA,2017-02-17 19:17:01,TRUE,NA,"832670202747723776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OffeneStadt",1,FALSE,FALSE,NA,NA
"The latest Big Data World! https://t.co/pUy2fzRh9D #opendata",FALSE,0,NA,2017-02-17 19:14:50,FALSE,NA,"832669656041156609",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","neckgoes",0,FALSE,FALSE,NA,NA
"Join our MD @paulineroche talking abt #OpenData &amp; #volsec/#socent at @DigbethSEQ mtg 8.30am Wed 22nd @iSE_CIC… https://t.co/gtsGT6cnHv",FALSE,3,NA,2017-02-17 19:14:17,TRUE,NA,"832669515771211776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RnRworks",0,FALSE,FALSE,NA,NA
"RT @northernjamie: ICYMI I've written a thing that looks at how linked &amp; #opendata can be used to improve use of evidence in documents http…",FALSE,0,NA,2017-02-17 19:13:44,FALSE,NA,"832669379267481605",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stu_lester",21,TRUE,FALSE,NA,NA
"Google Public Data Explorer makes large datasets easy to explore, visualize and communicate. Check it out: https://t.co/yd7UFRX3qc #opendata",FALSE,0,NA,2017-02-17 19:13:37,FALSE,NA,"832669349911498753",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","odi_rio",0,FALSE,FALSE,NA,NA
"Ummm.... #opendata  https://t.co/0j4uMpS3eL",FALSE,0,NA,2017-02-17 19:12:15,FALSE,NA,"832669006008037377",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","thedatabank",0,FALSE,FALSE,NA,NA
"""Ganz schön kompliziert: Die europäischen Datentöpfe"" #socialmedia #Opendata https://t.co/7da2wP0BbX",FALSE,0,NA,2017-02-17 19:11:36,FALSE,NA,"832668840798457860",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","claus_nagel",0,FALSE,FALSE,NA,NA
".@DataRefuge is growing larger &amp; larger with each #DataRescue augmented by work of #Libraries + #opendata @ARLnews https://t.co/qtRWlT2CAJ",FALSE,4,NA,2017-02-17 19:10:45,FALSE,NA,"832668626473791492",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bwiggerson",3,FALSE,FALSE,NA,NA
"Contamos con más de 100 mil datos disponibles en #Ciudatos. Explora los #DatosAbiertos: https://t.co/x5rqLMYSH4… https://t.co/tpJ6U1esel",FALSE,1,NA,2017-02-17 19:10:00,TRUE,NA,"832668439512743937",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","redcomovamoscol",1,FALSE,FALSE,NA,NA
"RT @SunFoundation: Online search for Obama-era @WhiteHouse visitor logs is gone, but the #opendata persists. https://t.co/ArjZ8Bkk6f #OpenG…",FALSE,0,NA,2017-02-17 19:08:11,FALSE,NA,"832667982606118914",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ddmcd",26,TRUE,FALSE,NA,NA
"Looking forward to join my @OECDgov colleagues next week to speak on the #FOIA in #Tunisia and #opendata… https://t.co/9BBW8UQZcp",FALSE,2,NA,2017-02-17 19:07:58,TRUE,NA,"832667927203549184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_riverap",0,FALSE,FALSE,NA,NA
"The latest Openness in Education and Research! https://t.co/yFtD8aTulI Thanks to @circa1909 @kwalitisme @opendata_bot #opendata",FALSE,0,NA,2017-02-17 19:07:52,FALSE,NA,"832667900905295873",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","namorais",0,FALSE,FALSE,NA,NA
"RT @SpringerNature: Find out how #OpenData benefits researchers, research communities and society as a whole #LoveYourData #LYD17 https://t…",FALSE,0,NA,2017-02-17 19:06:42,FALSE,NA,"832667605542375426",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DatosUGR",61,TRUE,FALSE,NA,NA
"The latest #OpenData Daily News! https://t.co/ngEzMteY3r Thanks to @DataBzh @KauppiJutta @Siltaar #opendata #bigdata",FALSE,0,NA,2017-02-17 19:06:11,FALSE,NA,"832667477066670080",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","groundrace",0,FALSE,FALSE,NA,NA
"RT @SpringerNature: Find out how #OpenData benefits researchers, research communities and society as a whole #LoveYourData #LYD17 https://t…",FALSE,0,NA,2017-02-17 19:06:07,FALSE,NA,"832667462365614080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jjmerelo",61,TRUE,FALSE,NA,NA
"RT @SunFoundation: Online search for Obama-era @WhiteHouse visitor logs is gone, but the #opendata persists. https://t.co/ArjZ8Bkk6f #OpenG…",FALSE,0,NA,2017-02-17 19:05:27,FALSE,NA,"832667293347885056",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hudsonhollister",26,TRUE,FALSE,NA,NA
"RT @OpenDataKoeln: Visualisierung der @codeforcologne #openair Feinstaub Sensoren nun als Heatmap https://t.co/C2x22asez2 #opendata #koeln…",FALSE,0,NA,2017-02-17 19:05:20,FALSE,NA,"832667262284767232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fractal001",10,TRUE,FALSE,NA,NA
"RT @ODIHQ: #TheWeekinData: Missing #opendata from the @WhiteHouse, India's elections &amp; hidden art https://t.co/mJMTbur1LM https://t.co/gl8l…",FALSE,0,NA,2017-02-17 19:04:10,FALSE,NA,"832666971975979008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FaySimcock",13,TRUE,FALSE,NA,NA
"Precision Agriculture speakers stress challenge of #opendata standards, crazy that such key findings count as Long Tail of science #aaasmtg",FALSE,3,NA,2017-02-17 19:03:47,FALSE,NA,"832666873489526784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SabinaLeonelli",0,FALSE,FALSE,NA,NA
"RT @andi_staub: Study!

Applying #blockchain in global data infrastructure

#fintech #insurtech #smartcontracts #OpenData #bitcoin
https://…",FALSE,0,NA,2017-02-17 19:03:20,FALSE,NA,"832666759400271872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ECF4U",8,TRUE,FALSE,NA,NA
"Thx @andi_staub for sharing! What people search to interconnect  #blockchain is @InternetOfCoins as missing link fo… https://t.co/Z2Xty4O5PM",FALSE,0,NA,2017-02-17 19:03:13,TRUE,NA,"832666728958091265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ECF4U",1,FALSE,FALSE,NA,NA
"@northernjamie Happy with that! Done! I intend to contact you guided by the same interest: #OpenData.",FALSE,0,"northernjamie",2017-02-17 19:02:27,FALSE,"831164916002410496","832666536594661377","14465315","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thomaz_pires",0,FALSE,FALSE,NA,NA
"RT @data_maniac: Interessante! 10 modi per ostacolare l’#OpenData https://t.co/jc6U2UadIW @techecon",FALSE,0,NA,2017-02-17 19:00:07,FALSE,NA,"832665952479088642",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","mvkennelly",1,TRUE,FALSE,NA,NA
